ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
55;1;CHARGEUR SANS FIL MODELE SAMSUNG;; 23 230    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1;"CLAVIER POUR TABLETTE 9,7"" LEATHER INTEX MOD.IT-MID KB970";; 49 260    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1;COMBINE TELEPHONIQUE IPEGA POUR SAMSUNG/IPHONE/IPAD... ANTI RADIATION;; 31 500    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;CONSOLE DE JEUX PVP2 CRASH9 AVEC 888888 JEUX ;; 81 480    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;1;CONSOLE DE JEUX PSP GAME AVEC CAMERA/MP3 PLAYER/SLOT MICRO SD…;; 122 670    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;CONSOLE DE JEUX NINTENDO DSICONSOLE DE JEUX NINTENDO DSI;; 183 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;1;CONSOLE DE JEUX SONY PLAYSTATION PORTABLE/PSP MULTI SYSTEM;; 192 000    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;1;CONSOLE DE JEUX NINTENDO DSI XL;; 245 330    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;1;CONSOLE DE JEUX NINTENDO 3DS XL;; 604 500    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;1;CONSOLE DE JEUX SONY PLAYSTATION 2 MULTI SYSTEM;; 335 990    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;1;CONSOLE DE JEUX SONY PLAYSTATION 3 320GB MULTI SYSTEM;; 825 980    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;CONSOLE DE JEUX SONY PLAYSTATION 4 500GB NEW;; 1 184 840    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR BLEU MOD.LTAPIPAD5-XY03;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR JAUNE MOD.LTAPIPAD5-XY0Y;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR KHAKI MOD.LTAPIPAD5-XY11;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR NOIR MOD.LTAPIPAD5-XY12;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;COQUE BASEUS IREVO CASE POUR IPAD MINI/RETINA NOIR/GRIS MOD.LTAPMINI2-SN1G;; 30 700    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C BLANC MOD.LTAPIH5C-MC02;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C BLEU MOD.LTAPIH5C-MC03;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C JAUNE MOD.LTAPIH5C-MC0Y;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C NOIR MOD.LTAPIH5C-MC01;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C ORANGE MOD.LTAPIH5C-MC07;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C ROSE MOD.LTAPIH5C-MC04;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C BLANC MOD.LTAPIHMINI-RW02;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C BLEU MOD.LTAPIHMINI-RW03;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C NOIR MOD.LTAPIHMINI-RW01;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C ORANGE MOD.LTAPIHMINI-RW07;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C ROUGE MOD.LTAPIHMINI-RW09;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C VERT MOD.LTAPIHMINI-RW06;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;1;COQUE BASEUS FOLIO SUPPORTING CASE POUR IPHONE5C NOIR MOD.LTAPIHMINI-SL01;; 8 650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;1;COQUE BASEUS FOLIO SUPPORTING CASE POUR IPHONE5C BLANC MOD.LTAPIHMINI-SL02;; 8 650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;1;COQUE BASEUS FOLIO SUPPORTING CASE POUR IPHONE5C ROSE MOD.LTAPIHMINI-SL0R;; 8 650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;1;COQUE BASEUS FAITH LEATHER CASE POUR IPHONE5C BLEU MOD.LTAPIHMIN-XY15;; 10 530    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;COQUE BASEUS FAITH LEATHER CASE POUR IPHONE5C CYAN MOD.LTAPIHMINI-XYCY;; 10 530    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
