ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Reference #;Visibility;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes)
31;1;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;USB, Périphériques, Connectique, Câbles;5940;;both;Ariary;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;câble, chargeur, usb, micro usb, samsung tab;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;1;0
32;1;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;USB, Périphériques, Connectique, Câbles;6290;;both;Ariary;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;câble, chargeur, usb, micro usb, samsung tab;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;1;0
33;1;CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);USB, Périphériques, Connectique, Câbles;10210;;both;Ariary;CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);câble, chargeur, usb, micro usb;CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);1;0
34;1;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;USB, Périphériques, Connectique, Câbles;8230;;both;Ariary;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;câble, chargeur, usb, micro usb;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;1;0
35;1;CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);Multimédia, Périphériques, Connectique, Adaptateurs;26400;;both;Ariary;CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);câble, console, jeu, usb, xbox;CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);1;0
36;1;CABLE POUR CONNECTER CONSOLE WII A LA TV;Multimédia, Périphériques, Connectique, Adaptateurs;21340;;both;Ariary;CABLE POUR CONNECTER CONSOLE WII A LA TV;CABLE POUR CONNECTER CONSOLE WII A LA TV;câble, console, jeu, usb, wii;CABLE POUR CONNECTER CONSOLE WII A LA TV;CABLE POUR CONNECTER CONSOLE WII A LA TV;CABLE POUR CONNECTER CONSOLE WII A LA TV;1;0
37;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;Multimédia, Périphériques, Connectique, Adaptateurs;15720;;both;Ariary;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;câble, console, jeu, usb, xbox;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;1;0
38;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);Multimédia, Périphériques, Connectique, Adaptateurs;23450;;both;Ariary;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);câble, console, jeu, usb, xbox;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);1;0
39;1;CHARGEUR POUR CONSOLE SONY PSP;Alimentation, Périphériques, Connectique, Câbles;10980;;both;Ariary;CHARGEUR POUR CONSOLE SONY PSP;CHARGEUR POUR CONSOLE SONY PSP;câble, console, jeu, usb, psp, sony;CHARGEUR POUR CONSOLE SONY PSP;CHARGEUR POUR CONSOLE SONY PSP;CHARGEUR POUR CONSOLE SONY PSP;1;0
40;1;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;Alimentation, Périphériques, Connectique, Câbles;10060;;both;Ariary;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;câble, console, jeu, usb, xbox;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;1;0
